symbol,buy_date,sell_date,profit_loss_usd,exit_reason,conviction_score,balance_after_trade
RNDR,2025-04-24,2025-05-01,34.47773888856295,Holding Period,50.0,10034.477738888563
FET,2025-04-28,2025-05-05,-103.64389580767397,Holding Period,50.0,9930.833843080889
FET,2025-04-30,2025-05-07,-116.34407666489278,Holding Period,50.0,9814.489766415996
AKT,2025-04-30,2025-05-07,141.38353408373746,Holding Period,50.0,9955.873300499734
TAO,2025-05-01,2025-05-08,237.16427016142165,Holding Period,50.0,10193.037570661156
KAS,2025-05-02,2025-05-05,-206.95206187086092,Stop Loss,50.0,9986.085508790295
AKT,2025-05-05,2025-05-06,-202.7502569019598,Stop Loss,70.0,9783.335251888335
TAO,2025-05-05,2025-05-12,278.4253379522686,Holding Period,60.0,10061.760589840604
AKT,2025-05-07,2025-05-14,60.12545354730014,Holding Period,60.0,10121.886043387904
RNDR,2025-05-08,2025-05-15,11.378917647027265,Holding Period,50.0,10133.26496103493
FET,2025-05-08,2025-05-15,-0.4177068621986564,Holding Period,80.0,10132.847254172731
OCEAN,2025-05-08,2025-05-15,13.942831052404927,Holding Period,55.0,10146.790085225137
AKT,2025-05-08,2025-05-15,-121.39839007868,Holding Period,60.0,10025.391695146456
INJ,2025-05-08,2025-05-15,122.36274163557528,Holding Period,70.0,10147.754436782032
AKT,2025-05-09,2025-05-15,-206.03266587537973,Stop Loss,60.0,9941.721770906652
KAS,2025-05-09,2025-05-16,167.09173368533266,Holding Period,50.0,10108.813504591984
KAS,2025-05-10,2025-05-17,-15.037265993626306,Holding Period,50.0,10093.776238598359
KAS,2025-05-11,2025-05-18,-59.09190986520571,Holding Period,60.0,10034.684328733154
FET,2025-05-13,2025-05-15,-203.73697218893335,Stop Loss,60.0,9830.94735654422
AKT,2025-05-13,2025-05-17,-199.60044407535247,Stop Loss,50.0,9631.346912468867
KAS,2025-05-16,2025-05-23,-128.85953013579365,Holding Period,50.0,9502.487382333074
TAO,2025-05-18,2025-05-25,15.303667148644763,Holding Period,60.0,9517.791049481719
TAO,2025-05-21,2025-05-28,-98.592182666609,Holding Period,70.0,9419.19886681511
FET,2025-05-22,2025-05-29,-47.71928266882196,Holding Period,60.0,9371.479584146287
KAS,2025-05-22,2025-05-28,-190.27174277294012,Stop Loss,50.0,9181.207841373347
INJ,2025-05-22,2025-05-29,-15.84431601370352,Holding Period,60.0,9165.363525359644
FET,2025-05-26,2025-05-31,-186.08691140595215,Stop Loss,60.0,8979.276613953693
FET,2025-05-27,2025-05-30,-182.30873735963144,Stop Loss,60.0,8796.96787659406
INJ,2025-05-27,2025-05-30,-178.60727262626813,Stop Loss,50.0,8618.360603967792
FET,2025-05-28,2025-05-30,-174.98095975545846,Stop Loss,60.0,8443.379644212335
INJ,2025-05-28,2025-05-30,-171.42827291814433,Stop Loss,50.0,8271.95137129419
TAO,2025-05-31,2025-06-05,-167.9477172645985,Stop Loss,55.0,8104.003654029591
KAS,2025-07-19,2025-07-26,22.907229627778634,Holding Period,50.0,8126.9108836573705
FET,2025-07-21,2025-07-24,-165.00292011624015,Stop Loss,50.0,7961.907963541131
KAS,2025-07-21,2025-07-24,-161.6528201783119,Stop Loss,55.0,7800.255143362819
TAO,2025-07-21,2025-07-28,-105.60110856756137,Holding Period,50.0,7694.654034795258
TAO,2025-07-22,2025-07-29,-156.22668972273084,Stop Loss,50.0,7538.427345072527
INJ,2025-07-26,2025-08-01,-153.05477601857285,Stop Loss,50.0,7385.372569053954
KAS,2025-07-27,2025-07-30,-149.94726255591308,Stop Loss,50.0,7235.425306498041
OCEAN,2025-07-31,2025-08-01,-146.902841798831,Stop Loss,55.0,7088.52246469921
TAO,2025-08-03,2025-08-10,102.3756241219005,Holding Period,50.0,7190.898088821111
INJ,2025-08-13,2025-08-19,-145.99879337913944,Stop Loss,60.0,7044.899295441972
